148696, Client1, 02-01-2024, M, 1, 5,
148697, Client1, 02-01-2024, M, 1, 5,
148698, Client1, 02-01-2024, M, 1, 5,
148699, Client1, 02-01-2024, M, 1, 5,
148700, Client1, 02-01-2024, M, 1, 5,
148701, Client1, 02-01-2024, M, 1, 5,
148702, Client1, 02-01-2024, M, 1, 5,
148703, Client1, 02-01-2024, M, 1, 5,
148704, Client1, 02-01-2024, M, 1, 5,
148705, Client1, 02-01-2024, M, 1, 5,
148706, Client1, 02-01-2024, M, 1, 5,
148707, Client1, 02-01-2024, M, 1, 5,
148708, Client1, 02-01-2024, M, 1, 5,
148709, Client1, 02-01-2024, M, 1, 5,
148710, Client1, 02-01-2024, M, 1, 5,
148711, Client1, 02-01-2024, M, 1, 5,
148712, Client1, 02-01-2024, M, 1, 5,
148713, Client1, 02-01-2024, M, 1, 5,
148714, Client1, 02-01-2024, M, 1, 5,
148715, Client1, 02-01-2024, M, 1, 5,
148716, Client1, 02-01-2024, M, 1, 5,
148717, Client1, 02-01-2024, M, 1, 5,
148718, Client1, 02-01-2024, M, 1, 5,
148719, Client1, 02-01-2024, M, 1, 5,
148720, Client1, 02-01-2024, M, 1, 5,
148721, Client1, 02-01-2024, M, 1, 5,
148722, Client1, 02-01-2024, M, 1, 5,
148723, Client1, 02-01-2024, M, 1, 5,
148724, Client1, 02-01-2024, M, 1, 5,
148725, Client1, 02-01-2024, M, 1, 5,
148726, Client1, 02-01-2024, M, 1, 5,
148727, Client1, 02-01-2024, M, 1, 5,
148728, Client1, 02-01-2024, M, 1, 5,
148729, Client1, 02-01-2024, M, 1, 5,
148730, Client1, 02-01-2024, M, 1, 5,
148731, Client1, 02-01-2024, M, 1, 5,
148732, Client1, 02-01-2024, M, 1, 5,
148733, Client1, 02-01-2024, M, 1, 5,
148734, Client1, 02-01-2024, M, 1, 5,
148735, Client1, 02-01-2024, M, 1, 5,
148736, Client1, 02-01-2024, M, 1, 5,
148737, Client1, 02-01-2024, M, 1, 5,
148738, Client1, 02-01-2024, M, 1, 5,
148739, Client1, 02-01-2024, M, 1, 5,
148740, Client1, 02-01-2024, M, 1, 5,
148741, Client1, 02-01-2024, M, 1, 5,
148742, Client1, 02-01-2024, M, 1, 5,
148743, Client1, 02-01-2024, M, 1, 5,
148744, Client1, 02-01-2024, M, 1, 5,
148745, Client1, 02-01-2024, M, 1, 5,
148746, Client1, 02-01-2024, M, 1, 5,
148747, Client1, 02-01-2024, M, 1, 5,
148748, Client1, 02-01-2024, M, 1, 5,
148749, Client1, 02-01-2024, M, 1, 5,
148750, Client1, 02-01-2024, M, 1, 5,
148751, Client1, 02-01-2024, M, 1, 5,
148752, Client1, 02-01-2024, M, 1, 5,
148753, Client1, 02-01-2024, M, 1, 5,
148754, Client1, 02-01-2024, M, 1, 5,
148755, Client1, 02-01-2024, M, 1, 5,
148756, Client1, 02-01-2024, M, 1, 5,
148757, Client1, 02-01-2024, M, 1, 5,
148758, Client1, 02-01-2024, M, 1, 5,
148759, Client1, 02-01-2024, M, 1, 5,
148760, Client1, 02-01-2024, M, 1, 5,
148761, Client1, 02-01-2024, M, 1, 5,
148762, Client1, 02-01-2024, M, 1, 5,
148763, Client1, 02-01-2024, M, 1, 5,
148764, Client1, 02-01-2024, M, 1, 5,
148765, Client1, 02-01-2024, M, 1, 5,
148766, Client1, 02-01-2024, M, 1, 5,
148767, Client1, 02-01-2024, M, 1, 5,
148768, Client1, 02-01-2024, M, 1, 5,
148769, Client1, 02-01-2024, M, 1, 5,
148770, Client1, 02-01-2024, M, 1, 5,
148771, Client1, 02-01-2024, M, 1, 5,
148772, Client1, 02-01-2024, M, 1, 5,
148773, Client1, 02-01-2024, M, 1, 5,
148774, Client1, 02-01-2024, M, 1, 5,
148775, Client1, 02-01-2024, M, 1, 5,
148776, Client1, 02-01-2024, M, 1, 5,
148777, Client1, 02-01-2024, M, 1, 5,
148778, Client1, 02-01-2024, M, 1, 5,
148779, Client1, 02-01-2024, M, 1, 5,
148780, Client1, 02-01-2024, M, 1, 5,
148781, Client1, 02-01-2024, M, 1, 5,
148782, Client1, 02-01-2024, M, 1, 5,
148783, Client1, 02-01-2024, M, 1, 5,
148784, Client1, 02-01-2024, M, 1, 5,
148785, Client1, 02-01-2024, M, 1, 5,
148786, Client1, 02-01-2024, M, 1, 5,
148787, Client1, 02-01-2024, M, 1, 5,
148788, Client1, 02-01-2024, M, 1, 5,
148789, Client1, 02-01-2024, M, 1, 5,
148790, Client1, 02-01-2024, M, 1, 5,
148791, Client1, 02-01-2024, M, 1, 5,
148792, Client1, 02-01-2024, M, 1, 5,
148793, Client1, 02-01-2024, M, 1, 5,
148794, Client1, 02-01-2024, M, 1, 5,
148795, Client1, 02-01-2024, M, 1, 5,
148796, Client1, 02-01-2024, M, 1, 5,
148797, Client1, 02-01-2024, M, 1, 5,
148798, Client1, 02-01-2024, M, 1, 5,
148799, Client1, 02-01-2024, M, 1, 5,
148800, Client1, 02-01-2024, M, 1, 5,
148801, Client1, 02-01-2024, M, 1, 5,
148802, Client1, 02-01-2024, M, 1, 5,
148803, Client1, 02-01-2024, M, 1, 5,
148804, Client1, 02-01-2024, M, 1, 5,
148805, Client1, 02-01-2024, M, 1, 5,
148806, Client1, 02-01-2024, M, 1, 5,
148807, Client1, 02-01-2024, M, 1, 5,
148808, Client1, 02-01-2024, M, 1, 5,
148809, Client1, 02-01-2024, M, 1, 5,
148810, Client1, 02-01-2024, M, 1, 5,
148811, Client1, 02-01-2024, M, 1, 5,
148812, Client1, 02-01-2024, M, 1, 5,
148813, Client1, 02-01-2024, M, 1, 5,
148814, Client1, 02-01-2024, M, 1, 5,
148815, Client1, 02-01-2024, M, 1, 5,
148816, Client1, 02-01-2024, M, 1, 5,
148817, Client1, 02-01-2024, M, 1, 5,
148818, Client1, 02-01-2024, M, 1, 5,
148819, Client1, 02-01-2024, M, 1, 5,
148820, Client1, 02-01-2024, M, 1, 5,
148821, Client1, 02-01-2024, M, 1, 5,
148822, Client1, 02-01-2024, M, 1, 5,
148823, Client1, 02-01-2024, M, 1, 5,
148824, Client1, 02-01-2024, M, 1, 5,
148825, Client1, 02-01-2024, M, 1, 5,
148826, Client1, 02-01-2024, M, 1, 5,
148827, Client1, 02-01-2024, M, 1, 5,
148828, Client1, 02-01-2024, M, 1, 5,
148829, Client1, 02-01-2024, M, 1, 5,
148830, Client1, 02-01-2024, M, 1, 5,
148831, Client1, 02-01-2024, M, 1, 5,
148832, Client1, 02-01-2024, M, 1, 5,
148833, Client1, 02-01-2024, M, 1, 5,
148834, Client1, 02-01-2024, M, 1, 5,
148835, Client1, 02-01-2024, M, 1, 5,
148836, Client1, 02-01-2024, M, 1, 5,
148837, Client1, 02-01-2024, M, 1, 5,
148838, Client1, 02-01-2024, M, 1, 5,
148839, Client1, 02-01-2024, M, 1, 5,
148840, Client1, 02-01-2024, M, 1, 5,
148841, Client1, 02-01-2024, M, 1, 5,
148842, Client1, 02-01-2024, M, 1, 5,
148843, Client1, 02-01-2024, M, 1, 5,
148844, Client1, 02-01-2024, M, 1, 5,
148845, Client1, 02-01-2024, M, 1, 5,
148846, Client1, 02-01-2024, M, 1, 5,
148847, Client1, 02-01-2024, M, 1, 5,
148848, Client1, 02-01-2024, M, 1, 5,
148849, Client1, 02-01-2024, M, 1, 5,
148850, Client1, 02-01-2024, M, 1, 5,
148851, Client1, 02-01-2024, M, 1, 5,
148852, Client1, 02-01-2024, M, 1, 5,
148853, Client1, 02-01-2024, M, 1, 5,
148854, Client1, 02-01-2024, M, 1, 5,
148855, Client1, 02-01-2024, M, 1, 5,
148856, Client1, 02-01-2024, M, 1, 5,
148857, Client1, 02-01-2024, M, 1, 5,
148858, Client1, 02-01-2024, M, 1, 5,
148859, Client1, 02-01-2024, M, 1, 5,
148860, Client1, 02-01-2024, M, 1, 5,
148861, Client1, 02-01-2024, M, 1, 5,
